filename,name,size_m,category,description
average-laptop-screen.png,Average Laptop Screen,0.34,Everyday Objects,"Although different monitors have different pixel sizes, things on the screen are approximately the same size."
average-us-house.png,Average U.S. House,15,Human Structures,"These houses of the United States have been getting larger. In the last 40 years, the average house has almost doubled in area! They are so large that you could fit 1,000 people in them! It would be pretty cramped, though."
bacteriophage.png,Bacteriophage,2e-7,Microbiology,"The bacteriophage, or just ""phage"" for short, is a type of bacteria-infecting virus. I think they look like robots, not life forms. But it also could be argued that viruses are not alive at all."
barnards-loop.png,Barnard's Loop,9400000000000000000,Nebulae,"Barnard's Loop is a huge nebula and is only 1,600 light-years away. It covers 10 degrees of the sky (which is a lot). It spans over most of the constellation Orion! However, it's so faint you can only see it on dark nights, or with long exposure times. So sad."
basketball.png,Basketball,0.24,Everyday Objects,"This basketball is probably a size 7 basketball, because a size 6 basketball is only 23 centimeters in diameter. This basketball, which is very round, is often pushed through a hoop."
beach-ball.png,Beach ball,0.8,Everyday Objects,"Beach balls were invented in 1938, which was over 80 years ago. Beach balls are also colorful. In addition, they are very fun! The only beach ball that isn't fun is the beach ball of death."
betelgeuse.png,Betelgeuse,1.1E+12,Stars,"Though stars can live for trillions of years, Betelgeuse is so big that it will only live for just over 8 million years. Since it is that old, it could explode at any moment! When it explodes, the supernova will be visible during the day. More likely however, it'll explode thousands of years from now."
black-pillar.png,Black Pillar,90000000000000000,Nebulae,"This little thingy is a part of the much larger Eagle Nebula. Even though it appears small in comparison to the Eagle Nebula, it's still larger than the solar system, by 10 - 20,000 times, depending on your definition of our Solar System."
blinking-nebula.png,Blinking Nebula,4500000000000000,Nebulae,The Blinking Nebula is a planetary nebula that doesn't actually blink. It just seems to appear and disappear from view. There are two red FLIERs (Fast Low-Ionization Emission Regions) on opposite side of the nebula.
blue-whale.png,Blue Whale,30,Biology,"The blue whale is the largest animal there is. Its weight, which is 180 metric tons, is greater than any other animal's. "
boeing-747.png,Boeing 747,76.25,Human Structures,"The Boeing 747, which flies, is an airplane. Since 1969, it's been shorter than a redwood tree. Before then, it didn't exist, so it wasn't shorter or longer. And yes, its wingspan is longer than the Wright brother's first flight (37 meters)."
boeing-everett-factory.png,Boeing Everett Factory,1000,Human Structures,"The Boeing Everett Factory, with 13 million cubic meters of usable space, is one of the largest buildings in the world. The Great Wall of China and the Three Gorges Dam do not qualify as buildings."
boomerang-nebula.png,Boomerang Nebula,19000000000000000,Nebulae,"The Boomerang Nebula is very cold, only one degree above absolute zero (-272° C)! That is colder than background radiation. Did you know the Boomerang Nebula is the coldest known object in the universe?"
bottom-quark.png,Bottom Quark,3e-22,Subatomic Physics,"The bottom quark is also called the beauty quark, because it is so flawlessly beautiful. It is third generation and quickly decays into up and charm quarks."
brunei.png,Brunei,120000,Geography,"Brunei is a country in Southeast Asia. It is surrounded completely by Malaysia and the South China Sea. Roughly 450,000 people live in this country. They drive on the left side of the road."
bubble-nebula.png,Bubble Nebula,70000000000000000,Nebulae,"I love blowing bubbles. Blub-blub, pop! This nebula is not a bubble; it just looks like one! It was created by hot stellar wind. Oh, and it's an emission nebula, not a planetary nebula."
buckyball.png,Buckyball,1e-9,Chemistry,"Buckyballs, which are also called buckminsterfullerenes, are made of 60 carbon atoms. The shape it forms is a truncated icosahedron, which is also the shape of a soccer ball! A solution made completely out of buckyballs is Violet. "
burj-khalifa.png,Burj Khalifa,827.9999999999999,Human Structures,"Burj Khalifa, which used to be called the Burj Dubai, is the tallest building in the world. No other building is taller than 828,000 millimeters tall. There's a swimming pool on the 76th floor."
california.png,California,1200000,Geography,"California is nicknamed ""The Golden State"". In the United States, it is ranked first in population, third in land area, and eleventh in name length. California is home to roughly 40 million people, which is less than one percent of the world's population."
callisto.png,Callisto,4800000,Solar System,Callisto is the most distant of the Galilean moons. It orbits outside all the other Galilean moons and has the most meteor impact craters of them all.
canes-venatici-dwarf-galaxy-i.png,Canes Venatici Dwarf Galaxy I,34000000000000000000,Galaxies,"The Canes Venatici Dwarf Galaxy I is 685,000 light-years away from us. If you zoom out to that scale, this galaxy will be a couple pixels across."
canis-major-dwarf-galaxy.png,Canis Major Dwarf Galaxy,1e+21,Galaxies,"The Canis Major Dwarf Galaxy is the nearest galaxy, if you don't count the Milky Way itself. It lies between the arms of the Milky Way and is being pulled apart by the gravity of the Milky Way."
capella.png,Capella,17000000000,Stars,"Capella is actually a quaternary star- that means four stars orbit in the system! Two stars are G-type giant stars, while the other two are M-type red dwarfs. The largest one is the one you see to the left. The Sun is also a type-G star, but it's a main-sequence one."
carbon-atom.png,Carbon Atom,1.6e-10,Chemistry,"Carbon is the basis of all life on Earth. This is because carbon atoms can create four covalent bonds, which means it can bond in thousands of ways with oxygen, nitrogen, hydrogen, carbon, and other elements."
carbon-nanotube.png,Carbon Nanotube,1e-9,Chemistry,"Carbon nanotubes are the strongest material yet discovered. As another bonus, they're lightweight. As a result, nanotubes have a lot of potential applications, including buildings, batteries, solar panels, and possibly even a space elevator."
cartwheel-galaxy.png,Cartwheel Galaxy,1.2e+21,Galaxies,"Astronomers think the Cartwheel Galaxy had a collision with two nearby galaxies 200 million years ago. Actually, 600 million years ago, because the Cartwheel Galaxy is 400 million light-years away, so what we see of it is already 400 million years old."
cats-eye-nebula.png,Cat's Eye Nebula,61000000000000000,Nebulae,"The Cat's Eye Nebula is one of the most complex nebulae known. Did you know that the Cat's Eye Nebula is 8,000° C? That's pretty hot! The outer halo is even hotter, at 15,000° C."
cave-nebula.png,Cave Nebula,700000000000000000,Nebulae,"The Cave Nebula is a very diffuse nebula. Of course, most nebulae as large as this one are faint, so you need long exposure times to see them. The Cave Nebula is also called Sh2-155 or Caldwell 9."
cell-nucleus.png,Cell Nucleus,0.000007,Microbiology,"Nuclei are pretty cool, and they can be found within all eukaryotic cells. (Human cells are eukaryotic.) The nucleus is where all the DNA is. During mitosis, the DNA will condense into chromosomes, and then the cell will split in two."
central-park.png,Central Park,,Human Structures,
ceres.png,Ceres,950000,Solar System,"Ceres is not a very good place for humans to live. Ceres is also the largest asteroid, and began the debate over the definition of ""planet"". For a time, Ceres was considered a planet, but then it wasn't."
cesium-atom.png,Cesium Atom,5e-10,Chemistry,"Atom size is measured by the distance of the nuclei in covalent bonds. The shells don't actually look like this. Cesium is the largest atom, but its atomic number is not the highest. Why? See Helium Atom."
charm-quark.png,Charm Quark,1e-21,Subatomic Physics,"The charm quark and the strange quark are the second generation of matter. They will quickly decay into up and down quarks, which are the first generation of matter. The charm quark is charming."
charon.png,Charon,1200000,Solar System,"Charon is Pluto's only large moon. They are very close in size. They are so close, some people used to consider Pluto and Charon to be a double planet. Did you know the same side of Charon always faces Pluto, and the same side of Pluto always faces Charon?"
chicken-egg.png,Chicken Egg,0.055,Biology,"The chicken egg is where baby chicks usually hatch. Many humans love to eat chicken eggs. Besides appearance, there is no difference between white chicken eggs and brown chicken eggs."
chlorine-nucleus.png,Chlorine Nucleus,6e-15,Subatomic Physics,"A chlorine nucleus has 17 protons and anywhere from 11 to 34 neutrons. However, the majority of these isotopes will decay within minutes, if not seconds! The only stable isotopoes are chlorine-35 (18 neutrons) and chlorine-37 (20 neutrons). Even numbers of neutrons (especially magic numbers 2, 8, 20, 28, 50, 82, and 126) tend to be more stable than odd ones."
chloroplast.png,Chloroplast,0.000008,Microbiology,"Plants use chloroplasts to turn the Sun's energy into chemical energy, which is stored in glucose molecules! Chloroplasts are also what give plants their green color, because they have fabulous chlorophyll inside their thylakoid membranes."
clay-particle.png,Clay Particle,0.000002,Everyday Objects,"Because clay particles are so small, they become tightly packed, and water particles have trouble flowing through it. On the other hand, sand is much more coarse. Water just slips right through sand. Easy-peasy."
coffee-bean.png,Coffee Bean,0.01,Everyday Objects,"The coffee bean is about one centimeter across - and it's actually a fruit that resembles a bean. It's brown and has stripes, and sometimes, when you stare at it, you just forget that its diameter is 10^-29 of the known universe."
common-earthworm.png,Common Earthworm,0.04,Biology,"Don't you just love wriggly, slimy earthworms? Despite the urban legends, most species of earthworms will die if you cut them in half. Sometimes, the clitellum will survive and grow a new tail."
compsognathus.png,Compsognathus longipes,.8912509381337456,Biology,"Compsognathus longipes, often called the ""chicken of the Jurassic"", was a nimble, turkey-sized dinosaur known for its slender frame and agile build. Zipping through ancient landscapes some 150 million years ago, this predator likely hunted small prey like insects and lizards, aided by its sharp teeth and swift legs. With a delicate, bird-like structure and keen senses, it was a glimpse into evolution's path toward modern avian life."
cone-nebula.png,Cone Nebula,80000000000000000,Nebulae,"The Cone Nebula was discovered in 1785, on the day after Christmas. Did you know that the Cone Nebula is a dark nebula and a diffuse nebula? You can find it between Betelgeuse and Procyon."
crab-nebula.png,Crab Nebula,110000000000000000,Nebulae,"The Crab Nebula is one of the most famous nebulae. It was also the first Messier object cataloged (M1)! The Crab Nebula's supernova was seen in 1054 AD and was so bright it could be seen during the day. It isn't even 1,000 years old!"
cruithne.png,Cruithne,5000,Solar System,"Cruithne is known as Earth's second moon. It actually isn't Earth's moon. It just follows an elliptical orbit around the Sun that is near Earth's orbit, and its year is 364 days, close to Earth's year."
deimos.png,Deimos,13000,Solar System,"Deimos was the smallest known moon in the Solar System for almost 100 years. You could walk around it in a day! Of course, you'd have to wear a space suit to survive in the vacuum of space. I don't think you could walk as fast in a space suit, though."
deneb.png,Deneb,2.8E+11,Stars,"Deneb is the brightest star in the constellation of Cygnus. Deneb is 2,600 light-years away, which makes it the most distant of the 25 brightest stars. If you lived on Mars, Deneb would appear above the North Pole - not Polaris."
depth-of-the-mariana-trench.png,Depth of the Mariana Trench,10900,Geography,The Mariana Trench is a pretty deep trench. It is in the Pacific Ocean. Did you know that this lovely trench has been proposed as a site for dumping nuclear waste? That's a deep topic!
distance-earth-has-travelled.png,Distance Earth Has Travelled (Relative to Sun),4.5e+21,Astronomical Distances,"Earth has travelled almost half a million light-years relative to the Sun since its formation. (That's 4.5 billion years/orbits.) Earth is 10,000 times slower than light."
distance-from-comet-hale-bopp-to-sun.png,Distance from Comet Hale-Bopp to Sun (farthest),5.3E+13,Astronomical Distances,"The comet Hale-Bopp gets so far from the Sun, the tug of the planets changes its furthest point each visit. Arriving this time took 4,200 years, and it will take another 2,400 years to make another orbit."
distance-from-earth-to-moon.png,Distance from Earth to Moon,380000000,Astronomical Distances,"The Earth and the Moon here are not to scale. If the distance were a meter, Earth would be the size of a quarter, and the moon would be a pea."
distance-from-earth-to-sun.png,Distance from Earth to Sun,1.5E+11,Astronomical Distances,"During the day, the Sun doesn't seem so far away. It's actually about 150 million kilometers away. That distance is an astronomical unit, which is called an AU for short. "
distance-from-neptune-to-sun.png,Distance from Neptune to Sun,4.47E+12,Astronomical Distances,Neptune is the most distant known planet in the solar system. The distance from Neptune to the Sun is greater than the diameter of any known star!
distance-from-proxima-centauri-to-alpha-centauri-a.png,Distance from Proxima Centauri to Alpha Centauri A,1800000000000000,Astronomical Distances,Proxima Centauri is very far away from Alpha Centauri A & B.
distance-from-sedna-to-sun.png,Distance from Sedna to Sun (farthest),1.4E+14,Chemistry,"When Sedna is the farthest from the Sun, it is very far away. This point is called the ""aphelion""! It takes Sedna over 10,000 Earth years to complete one orbit."
distance-from-the-sun-to-proxima-centauri.png,Distance from the Sun to Proxima Centauri,40000000000000000,Astronomical Distances,"Proxima Centauri is the closest star to the Sun. However, it is still quite far away. 30 million Suns could fit between Proxima Centauri and the Sun in a straight line."
distance-from-voyager-1-to-earth.png,Distance from Voyager 1 to Earth,2.3E+13,Astronomical Distances,"Over the last 45 years, Voyager 1 has traveled to a distance of 23 billion kilometers, which is the furthest any man-made object has gone, and every day it gets 1.5 million kilometers further away! You can't see it, even if you stare really, really hard!"
distance-to-the-andromeda-galaxy.png,Distance to the Andromeda Galaxy,2.3e+22,Galaxies,"At two million light-years away, the Andromeda Galaxy is the most distant object visible to the naked eye. However, without binoculars or a telescope, it will appear as a dim blur."
distance-to-the-great-attractor.png,Distance to the Great Attractor,1.9e+24,Astronomical Distances,"The Great Attractor is pulling thousands of galaxies, including the Milky Way, towards itself. Its mass is tens of thousands of times greater than the Milky Way's."
distance-to-the-shapley-supercluster.png,Distance to the Shapley Supercluster,3.200000000000001e+23,Large-Scale Structure,The Shapley Supercluster is a supercluster of galaxies. It is one of the largest objects that collapses inward; anything larger expands with the universe.
dna.png,DNA,1e-8,Chemistry,"DNA, which is a nucleic acid, stores the genetic information of almost all living things on Earth (except for some viruses.) A single human cell contains 3 meters of deoxyribonucleic acid, which holds about 25,000 genes in about 3 billion base pairs."
dodo-bird.png,Dodo Bird,1,Biology,"The dodo bird went extinct sometime during the 1600s. The name comes from the sound they make (or should I say used to make since they're now extinct). So yeah, they're gone."
down-quark.png,Down Quark,8e-21,Subatomic Physics,"There are six flavors of quarks. They are up, down, strange, charm, top, and bottom. The smaller a quark is, the more mass it has. As a result, the up and down quarks are actually the lightest of the quarks. This down quark has a charge of -1/3."
dracorex.png,Dracorex,3.047894989627983,Biology,"A genus of pachycephalosaurid dinosaur from the Late Cretaceous (around 66 million years ago). Its name, Dracorex hogwartsia, translates to \\""dragon king of Hogwarts,\\"" inspired by its dragon-like appearance. Dracorex had a flat skull adorned with spiky horns and knobs. Though debated whether it represents a juvenile form of another species, such as Pachycephalosaurus, it was herbivorous or omnivorous and relatively small, around 10–12 feet (3–4 meters) long."
duckweed.png,Duckweed,0.002,Microbiology,"These are water lentils that float in ponds and other bodies of water. They don't have stems or roots. On the other hand, they do create flowers, which are the smallest of any plant on Earth."
dust-mite.png,Dust mite,0.0003,Microbiology,"Dust mites like to eat dust, which you probably know is just dead skin cells. Many people are allergic to dust mites. Some people are allergic to their poop. Either way, almost all people want to get rid of this pesky pest."
dysnomia.png,Dysnomia,140000,Solar System,"Dysnomia is Eris's only moon and was discovered on September 10, 2005, which was a Saturday. Also, did you know that ""Dysnomia"" also refers to a law conflict?"
e-coli.png,E. coli,0.000002,Microbiology,"E. coli are usually harmless and live in your intestines, making wonderful vitamin K2. They are in almost everyone's intestines. In fact, they colonize babies' intestines just two days after they are born! Now that's pretty fast!"
eagle-nebula.png,Eagle Nebula,1200000000000000000,Nebulae,"The Eagle Nebula is a huge stellar nursery. Can you see the Pillars of Creation within it? Also, note that this image is based off of a false-color photograph. In true color, it's a bit more pinkish (as most large nebulae are)."
earth.png,Earth,12700000,Solar System,"The Earth is our only home. While living on it, we may consider it huge, but it is still important to take care of it. When it is gone, there will be nowhere else left to go."
eiffel-tower.png,Eiffel Tower,330,Human Structures,"For 41 years, the Eiffel Tower was the tallest man-made structure in the world. 200 million people have been to the Eiffel Tower, which is almost the population of the U.S.A.!"
electron.png,Electron (Classical),5.64e-15,Subatomic Physics,"Electrons are so small that their size can't accurately be measured. The size of an electron varies greatly depending on how it's measured, whether it's based on the quantum model or, in this case, the classical model."
elephant.png,Elephant,5,Biology,"The elephant is the largest land animal. Only three species of elephants remain. They can weigh up to 8 tons, which is about 10 times the weight any human has ever achieved!"
enif.png,Enif,2.9E+11,Stars,"Enif is an orange supergiant. Its name means ""nose"" in Arabic, because in the constellation Pegasus, it is in the position of the muzzle. Coincidentally, the word ""Enif"" backwards is ""Fine""."
eris.png,Eris,2330000,Solar System,"Eris is the most massive dwarf planet. Although it's a little bit smaller, it is even heavier than Pluto, which is also a dwarf planet. Eris is also very far from the Sun. Eris has a moon, and that's Dysnomia. Where's Dysnomia? It's directly beneath the period at the end of this last sentence."
eskimo-nebula.png,Eskimo Nebula,15000000000000000,Nebulae,The Eskimo Nebula was discovered in 1787 and is the result of a Sun-like star dying and expanding into space. It supposedly looks like a head in the hood of a parka. Another name is the Clownhead Nebula.
europa.png,Europa,3100000,Solar System,"Europa is the puniest of the Galilean moons. It is covered with ice. There are mysterious streaks that cover the moon's surface. Scientists think a water ocean might exist beneath the layer of ice, possibly even holding life."
fm-radio-wavelength.png,FM Radio Wavelength,1,Electromagnetic Spectrum,"F and M are the sixth and thirteenth letters of the alphabet. Six is a perfect number, while thirteen is not. We all have our differences, and we have to learn to accept them. That's the only way we'll live in harmony."
football-field.png,Football Field,109.7,Everyday Objects,"American football fields are 120 yards (109.7 m) long, if end zones are included. Anyway, football fields are often used for measuring large objects. For example, ""The Titanic is roughly three football fields long!"" Football fields are also used for playing football."
gacrux.png,Gacrux,1.7E+11,Stars,"Gacrux can be found in the constellation Crux. Crux, which means ""cross"" in Latin, is known as the Southern Cross. We think Gacrux might be a binary star, but we haven't been able to spot its companion yet. The main star is a red giant."
gamma-ray-wavelength.png,Gamma Ray Wavelength,1e-12,Electromagnetic Spectrum,"Gamma rays have a very high frequency. They can come from radioactive decay. Oh, and by the way, it's not actually light blue as it appears to the left."
ganymede.png,Ganymede,5300000,Solar System,"Ganymede is the largest moon in the Solar System. It orbits Jupiter and was discovered by Galileo, which makes it a Galilean moon. Also, Ganymede is not to be confused with Ganymed, which is an asteroid whose name doesn't have the final ""e""!"
gateway-arch.png,Gateway Arch,192,Human Structures,"The Gateway Arch is the tallest structure in St. Louis. There is an observation area at the very top, and from it, you can see the Mississippi River. You should go visit it sometime in the near future!"
giant-earthworm.png,Giant Earthworm,3,Biology,"The giant earthworm can grow up to three meters long. When baby giant earthworms hatch from their cocoons, they are only twenty centimeters long. They take five years to reach their full length. They burrow underground and make gurgling noises."
gigaparsec.png,Gigaparsec,3.3e+25,Astronomical Distances,"A gigaparsec is one billion parsecs. It is one of the largest measures of distance. There's really no need to have any measure larger, because the radius of the observable universe is only 14 gigaparsecs."
giraffe.png,Giraffe,6,Biology,The giraffe is the tallest land mammal at a mind-boggling 6 meters! Its neck alone is almost half of its entire height. Adult giraffes are so tall that the only way for predators to kill them is to push them onto their side!
glass-marble.png,Glass Marble,0.015,Everyday Objects,"Glass marbles are round, but they're actually quite rough if you look at them under a microscope. This marble is an example of a toothpaste marble. Other marbles can be made of wood, plastic, metal, or even dirt."
gliese-229a.png,Gliese 229A,960000000,Stars,"Gliese 229A is a red dwarf star. It is a bit smaller than the Sun, but much less massive. The red dwarf star is also written as GJ 229 or GI 229. It is part of a binary star system, the second star being Gliese 229B."
gliese-229b.png,Gliese 229B,160000000,Stars,"Gliese 229B is a brown dwarf star. It orbits a larger dwarf star, which is Gliese 229A. Gliese 229B would be classified as a planet, but it is much denser than Jupiter, making its mass too large to be considered a planet."
glucose-molecule.png,Glucose Molecule,8e-10,Chemistry,"Glucose is a simple sugar. Plants make glucose through photosynthesis and turn it into complex sugars. When we (as humans) eat plants or animals that have eaten plants, we eat complex sugars, which we break down into glucose again, which we use for energy."
gomezs-hamburger.png,Gomez's Hamburger,4.7E+14,Nebulae,"Gomez's Hamburger is 900 light-years away! The buns are made of reflective dust, and the patty is made of dark dust. That does not sound very appetizing."
grain-of-rice.png,Grain of Rice,0.005,Everyday Objects,"A lot of people on our beautiful world eat rice. If you eat one bowl of rice per day, you will eat around 300 million grains of rice in your lifetime. That is also approximately the population of the United States!"
grain-of-salt.png,Grain of Salt,0.0005,Everyday Objects,"Salt is a compound made of a reactive metal and a toxic gas. Everyone knows that. Also, do not eat too much salt, or else you could die. Eating one thousandth of your body weight all at once will usually do the trick."
grain-of-sand.png,Grain of Sand,0.0005,Everyday Objects,"Of course, not all grains of sand are the same size. They vary a lot. Arenophiles are people who collect sand samples. Also, did you know that Papakolea Beach has green sand? This is because of crystals in the sand. Whatever."
grand-canyon.png,Grand Canyon,450000,Geography,"The Grand Canyon is one of the largest canyons on Earth. It was carved by the Colorado River. All that carving took around 17 million years! The layers of rock exposed were even older, some as old as 1.8 billion years old!"
great-barrier-reef.png,Great Barrier Reef,2600000,Geography,"The Great Barrier Reef, which is off the northeastern coast of Australia, is the biggest single structure made by living organisms! It is home to several thousand species of coral, mollusks, whales, turtles, dolphins, birds, and much more!"
great-nebula-in-carina.png,Great Nebula in Carina,4400000000000001000,Nebulae,"This is also called the Eta Carinae Nebula, which is not to be confused with Eta Carinae's Homunculus Nebula (which is probably too small to see right now. It's 0.002 light-years across)."
great-pyramid-of-giza.png,Great Pyramid of Giza,150,Human Structures,"This picture is actually of the Giza Necropolis. The Great Pyramid of Giza is the pyramid on the left. It is the oldest one, built by the Egyptians in 2560 BC. It was the tallest man-made structure for almost 4,000 years."
great-wall-of-china.png,Great Wall of China,2900000,Human Structures,"The Great Wall of China is 2,900 kilometers across. However, it twists and turns, so if you straightened it out into a line, it would be over 8,800 kilometers long. The Great Wall of China is not visible from space. It's less than 10 meters wide! Most houses are wider than that!"
half-dome.png,Half Dome,409.9999999999999,Geography,"Half Dome is a large dome that is in Yosemite National Park. It is made up of granite. The steep side of the dome is almost vertical. Don't fall off that side unless you want to. Some people like to climb it, even though it is very challenging!"
halleys-comet.png,Halley's Comet,11000,Solar System,The actual size of Halley's Comet is quite small. The tail that it forms can be millions of kilometers in length! Halley's comet loses 10% of its mass for every thousand orbits.
helium-atom.png,Helium Atom,2.5e-11,Chemistry,"Hydrogen atoms are larger than helium atoms because more protons in an atom's nucleus pull the electrons in closer. However, additional shells increase the size of the atoms the most. Cesium, the largest atom, has the most shells with the fewest electrons. (Francium has not been measured.)"
helium-nucleus.png,Helium Nucleus,3e-15,Subatomic Physics,"The helium nucleus is thousands of times smaller than the atom, like a marble in a football field. The only reason matter feels solid is because atoms repel. If atoms didn't repel, everything would fall through each other!"
helix-nebula.png,Helix Nebula,54000000000000000,Nebulae,"The Helix Nebula is one of the closest bright planetary nebulae to Earth. It is 650 light-years away from Earth! That's only six quadrillion (6,000,000,000,000,000) kilometers! (That is close, astronomically speaking.)"
hepatitis-b-virus.png,Hepatitis B Virus,4.200000000000001e-8,Microbiology,"Hepatitis B infects a lot of humans. In fact, almost one third of the world population has been infected at some point. This virus can cause vomiting, liver inflammation, and possibly death, but you most likely won't even notice if you have it at all!"
high-energy-neutrino.png,High-Energy Neutrino,1.5e-20,Subatomic Physics,"Neutrinos of higher energy are larger. For more about neutrinos, go to Neutrino, which shows the average size. It's a whopping 15,000 times smaller!"
hiv.png,HIV,9e-8,Microbiology,"HIV, which stands for Human Immunodeficiency Virus, infects 0.5% of the world's population and causes AIDS, which stands for Acquired Immune Deficiency Syndrome. About 5 million new infections happen every year."
homunculus-nebula.png,Homunculus Nebula,5500000000000000,Nebulae,"At the center of the Homunculus Nebula lies a star. The star, which is Eta Carinae, had a magnitude of -0.8 in 1841 (second brightest star in the sky). Now, it is a very dim sixth-magnitude star."
hoover-dam.png,Hoover Dam,220,Human Structures,"The Hoover Dam, which was built on the Colorado River, holds in the largest reservoir in the United States, Lake Mead. Not only does the Hoover Dam provide water, but its turbines also generate electricity."
horsehead-nebula.png,Horsehead Nebula,66000000000000000,Nebulae,The Horsehead Nebula is one of the most famous nebulae because it looks like a horse's head. It's a dark nebula in front of glowing pink gas. It was first discovered in 1888. Do you like all those 8s? I do.
hourglass-nebula.png,Hourglass Nebula,5500000000000000,Nebulae,"The Hourglass Nebula is actually shaped like an hourglass. As you can see, there are two lobes. The upper lobe is tilted toward us, and the bottom one is tilted away."
human.png,Human,1.7,Biology,"I'm going to assume you are a human. I am a human too! Did you know that there are almost 8 billion of us? That's a lot. In fact, if you met each person for one second, it would take you about 200 years to meet all of them! Better get started now!"
